"filename", "language", "Python", "Properties", "Batch", "Markdown", "PLSQL", "XML", "PowerShell", "comment", "blank", "total"
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\api.py", "Python", 321, 0, 0, 0, 0, 0, 0, 50, 58, 429
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\apimanager.py", "Python", 104, 0, 0, 0, 0, 0, 0, 43, 29, 176
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\config.py", "Python", 15, 0, 0, 0, 0, 0, 0, 5, 7, 27
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\generate-utils\generate-models.py", "Python", 46, 0, 0, 0, 0, 0, 0, 23, 10, 79
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\generate-utils\generate-vars.py", "Python", 46, 0, 0, 0, 0, 0, 0, 1, 7, 54
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\generate-utils\sqls\dpsv_create_table.sql", "PLSQL", 0, 0, 0, 0, 209, 0, 0, 49, 69, 327
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\generate-utils\sqls\dpsv_model_generated.py", "Python", 131, 0, 0, 0, 0, 0, 0, 0, 20, 151
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\generate-utils\sqls\dpsv_vars_generated.py", "Python", 95, 0, 0, 0, 0, 0, 0, 28, 16, 139
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\models.py", "Python", 137, 0, 0, 0, 0, 0, 0, 0, 21, 158
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\sqlhelper.py", "Python", 142, 0, 0, 0, 0, 0, 0, 16, 14, 172
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\start-api.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\test.py", "Python", 39, 0, 0, 0, 0, 0, 0, 37, 22, 98
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\utils.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\easy_install.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\__main__.py", "Python", 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 0, 19, 14, 78
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 162, 0, 0, 0, 0, 0, 0, 23, 34, 219
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cache.py", "Python", 111, 0, 0, 0, 0, 0, 0, 70, 44, 225
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 99, 0, 0, 0, 0, 0, 0, 38, 16, 153
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 254, 0, 0, 0, 0, 0, 0, 44, 49, 347
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 670, 0, 0, 0, 0, 0, 0, 130, 132, 932
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 53, 0, 0, 0, 0, 0, 0, 20, 26, 99
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 162, 0, 0, 0, 0, 0, 0, 48, 52, 262
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 58, 0, 0, 0, 0, 0, 0, 6, 18, 82
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\check.py", "Python", 31, 0, 0, 0, 0, 0, 0, 2, 9, 42
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 54, 0, 0, 0, 0, 0, 0, 29, 12, 95
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 185, 0, 0, 0, 0, 0, 0, 33, 41, 259
