"filename", "language", "CSS", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\README.md", "Markdown", 0, 0, 6, 0, 0, 0, 3, 9
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\package-lock.json", "JSON", 0, 17579, 0, 0, 0, 0, 1, 17580
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\package.json", "JSON", 0, 53, 0, 0, 0, 0, 1, 54
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\APIManager\API.js", "JavaScript", 0, 0, 0, 54, 0, 13, 14, 81
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\APIManager\APISender.js", "JavaScript", 0, 0, 0, 42, 0, 10, 3, 55
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\App.css", "CSS", 18, 0, 0, 0, 0, 0, 4, 22
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\App.js", "JavaScript", 0, 0, 0, 40, 0, 0, 2, 42
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\BaseVideo.css", "CSS", 17, 0, 0, 0, 0, 0, 1, 18
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\BaseVideo.js", "JavaScript", 0, 0, 0, 13, 0, 0, 3, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Card.css", "CSS", 76, 0, 0, 0, 0, 0, 16, 92
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Card.js", "JavaScript", 0, 0, 0, 106, 0, 0, 14, 120
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Comment.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 6
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Comment.js", "JavaScript", 0, 0, 0, 72, 0, 0, 8, 80
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\DetailPanel.css", "CSS", 102, 0, 0, 0, 0, 0, 26, 128
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\DetailPanel.js", "JavaScript", 0, 0, 0, 288, 0, 1, 23, 312
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\NavBar.css", "CSS", 19, 0, 0, 0, 0, 0, 6, 25
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\NavBar.js", "JavaScript", 0, 0, 0, 22, 0, 0, 4, 26
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\PostBtn.css", "CSS", 45, 0, 0, 0, 0, 5, 6, 56
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\PostBtn.js", "JavaScript", 0, 0, 0, 10, 0, 0, 3, 13
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Profile.css", "CSS", 117, 0, 0, 0, 0, 0, 23, 140
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\Profile.js", "JavaScript", 0, 0, 0, 372, 0, 1, 24, 397
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\SideBar.css", "CSS", 65, 0, 0, 0, 0, 0, 14, 79
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\SideBar.js", "JavaScript", 0, 0, 0, 39, 0, 0, 3, 42
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\SideBarData.js", "JavaScript", 0, 0, 0, 20, 0, 0, 3, 23
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\obseleted\Waterfall.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\component\obseleted\Waterfall.js", "JavaScript", 0, 0, 0, 60, 0, 5, 9, 74
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\index.css", "CSS", 20, 0, 0, 0, 0, 0, 4, 24
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\index.js", "JavaScript", 0, 0, 0, 8, 0, 1, 4, 13
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\FakeVideoData.js", "JavaScript", 0, 0, 0, 104, 0, 0, 1, 105
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Favorites.css", "CSS", 13, 0, 0, 0, 0, 0, 3, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Favorites.js", "JavaScript", 0, 0, 0, 11, 0, 0, 5, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\HomePage.css", "CSS", 17, 0, 0, 0, 0, 0, 7, 24
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\HomePage.js", "JavaScript", 0, 0, 0, 112, 0, 0, 13, 125
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Message.css", "CSS", 18, 0, 0, 0, 0, 0, 4, 22
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Message.js", "JavaScript", 0, 0, 0, 105, 0, 0, 10, 115
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Settings.css", "CSS", 13, 0, 0, 0, 0, 0, 3, 16
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\Settings.js", "JavaScript", 0, 0, 0, 8, 0, 0, 4, 12
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\UploadPage.css", "CSS", 56, 0, 0, 0, 0, 0, 9, 65
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\pages\UploadPage.js", "JavaScript", 0, 0, 0, 189, 0, 0, 14, 203
"g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\frontend\src\test.js", "JavaScript", 0, 0, 0, 66, 0, 11, 23, 100
